"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS309164,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/1abe1a0b-9e6c-4ea5-aee0-db551ed97063#!/report,2018-04-01 01:30:00.000,201801,Findern LC,slip trip or fall,PA-IP Contractor tripped over magnet in 4ft and banged left knee at Findern Road. SCO ref 36633.,"At 01:30 a member of Murphy's staff tripped over the magnet in the 4ft at Findern Road overbridge 71, SPC3 at 65m 60ch on the Up Fast line and banged his left knee. The member of staff sat down and assessed the situation and got back up again. No first aid was administered. The member of staff went to hospital to get the injury checked out.",,,,"J Murphy & Sons Ltd., Network Rail",Infrastructure worker,Duties to maintain track or infrastructure,,,0.001,Workforce (on-duty): Non-severe
SMIS309163,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e124c848-8d1f-4742-9776-369e8ffa533b#!/report,2018-04-03 12:41:00.000,201801,Cark and Cartmel,slip trip or fall,PA - Lancs and Cumbria DU:  Off Track Technician tripped over vegetation at Cark and injured ribs.,"Off track Carlisle operative advised that, whilst stripping out a fence line, they had tripped over vegetation after their foot had become tangled in bramble. This caused them to fall onto their left side and they they sustained injuries to their rib area.  Immediate cause - Bramble and other vegetation concealed in cleared undergrowth, hazardous underfoot conditions. Underlying cause - Brief lack of concentration, distracted by heavy rain whist wearing glasses, whilst delivering work, the bramble is camouflaged at this time of year and not always obvious.  Remedial Actions - Re-brief individual upon potential hazards and reiterated how operatives can get caught out even in conditions familiar to themselves.",Level,Other: vegetation,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS309158,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/d3a7d14a-d3a1-445a-bb6e-4e57d1e5f3d3#!/report,2018-04-03 14:15:00.000,201801,Kemsley,slip trip or fall,PA DU Ashford - MOS tripped on toughing at Kemsley injurying his knee,"Injured Party Tripped on Toughing Track side whilst in-between work sites Immediate cause Walking on ballast adjacent to the troughing route and the IP scraped his foot against the troughing route causing IP to stumble and fall banging his right knee. Underlying cause The IP not being mindful enough of underfoot conditions, particularly where they vary as this location did. Remedial actions The line manager has discussed the accident with the IP, particularly focusing on the varied underfoot conditions at this location. IP to Take 5 to consider safest place to walk and the varying underfoot conditions. The incident was discussed at the next team safety hour as part of a continuing message to be mindful of underfoot conditions, particularly when they vary.",Sloped,,,Network Rail,Infrastructure worker,,Error or violation; Other,Loss of balance; Other cause,0.001,Workforce (on-duty): Non-severe
SMIS309247,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6131075f-259c-41f4-b1b2-fef46841e9c1#!/report,2018-04-05 09:10:00.000,201801,Taunton,slip trip or fall,PA - Neil Thorne Engineering MOS twisted his ankle whilst walking on ballast at Taunton HOOB. Fractured ankle/Lost time [SCO36726/37230] NSC,"A Neil Thorne Engineering member of staff, whilst working in Taunton Fairwater HOOB, was walking on ballast and twisted their ankle, which subsequently swelled up. The IP was taken to hospital. The IP was diagnosed with an nondisplaced lateral malleolar (ankle) fracture. Was the action deliberate: No. Walking from work area to van. Informed about procedures: Yes. Walking routes were clear. Procedures clear and workable: Yes. Outcome: Slip/Lapse Updates From L1: Immediate cause - Whilst walking to his van, the IP stood on something uneven, causing his ankle to twist. This resulted in a undisplaced lateral malleolar fracture. (bad sprain). Underlying cause - The environment (underground conditions) the IP was working in, were fair. The ballast and hard standing were flat and level. The area was checked after the incident, nothing specific could be identified other than the change between hard standing and ballast.  The IP had confirmed all mandatory PPE was in a fit for purpose condition and was being worn correctly. The IP was signed on all relevant SSOW documentation. The Method statement that documents the TRS Axel 17 modifications had been approved and signed. The IP had been inducted to Taunton HOOB - The documentation was not available due to the induction being conducted when TRS was operated by Amey Colas. Remedial actions: All sub contractors working for High Output were to be reminded via an HOOB induction of all processes. This was going to help highlight the main working hazards and the correct reporting procedures. A brief (Safety Hour) to all High Output MOS about the importance of wearing the correct footwear for work, and the consequences of not wearing this form of PPE correctly. Although the underfoot conditions were normal for the maintenance activities that took place in HOOB's it was HO plant's aspiration to lay hard standing around all the maintenance roads in Taunton HOOB. This was not going to eradicate S/T&F's but lower the frequency of them happening, and the severity if they do. Site responsible person to review the locality where repeat actions were undertaken and consider the suitability of the ground to perform those actions, that the risk is ALARP. Action for individual - to be more vigilant when walking around all High Output HOOB's / Work sites. To ensure the correct reporting lines were used. Action for Manager - to re-brief all NTE MOS on the method statement for working in HOOB's, highlighting walking on uneven ground. To conduct a company check on all PPE being used, ensuring it is appropriate for the activities being undertaken and fit for purpose. The following will be submitted to HO to close the action. No further investigation required.",Level,Ballast,,"Network Rail, Other, CrossCountry",Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.125,Workforce (on-duty): Specified
SMIS309282,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/28f7fdee-52f7-4796-984d-fac5ffc75c1d#!/report,2018-04-05 17:40:00.000,201801,Tram Inn LC,slip trip or fall,PA. OM North accident. Signaller tripped on walkway at Tram Inn,"The signaller at Tram Inn reported metal anti-slip on top of the wooden walkway was protruding due to the rotten state of the walkway (signal box end), causing the signaller to trip and receive a twist/ sprain to his right ankle and knee.",,Metal,,Network Rail,Signaller,Handover,,,0.001,Workforce (on-duty): Non-severe
SMIS309270,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/1c001d7a-ae54-489e-bb7f-6ecb32ba0102#!/report,2018-04-06 01:10:00.000,201801,Hampton Court Jcn (Main Line),slip trip or fall,PA - Staff Accident - Inner DU - IP cut their right palm after tripping over a conductor rail cable at Hampton Court Junciton,"At 00:20 a member of staff belonging to the inner delivery unit tripped and cut their right palm at Hampton Court Junction. The injured person (IP) was walking in the cess in darkness and tripped over a high conductor rail cable and fell on to the ballast. The cut was covered with a plaster and the IP was fit to continue. NR2072p: A Team Leader (Track Maintenance), based at Woking, was walking in the cess of the Hampton Court Branch line when he tripped over a conductor rail cable that was sitting high. He fell onto the ballast and onto his right hand causing a small cut to the palm. First aid was given on site, the cut was cleaned and a plaster was applied. Following the first aid treatment, the Team Leader continued with their work. Immediate cause: The Team Leader did not see the conductor rail cable in the cess. Underlying cause: The conductor rail cable was sitting high, presenting a tripping hazard. Remedial action: Raised awareness of potential hazards within the cess and highlighted the need to be aware of these hazards.  First Aid: Yes Lost time: No Direct to hospital: No >24 hours in hospital: No",,,,Network Rail,Controller of site safety (COSS),,"Infrastructure, vehicles, equipment and clothing; Other",high sitting conductor rail - tripping hazzard; Other cause,0.001,Workforce (on-duty): Non-severe
SMIS309374,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/5bb8f9ce-f443-4a5b-aa21-99cc043b133c#!/report,2018-04-06 12:15:00.000,201801,New Brighton,slip trip or fall,PA - Liverpool DU: Operative tripped over cable whilst walking on ballast at New Brighton and grazed left knee.,Operative tripped over cable whilst walking on ballast at New Brighton and grazed left knee.,,,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,,,0.001,Workforce (on-duty): Non-severe
SMIS309272,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/aec4290c-4163-4542-8efd-177c66408bb5#!/report,2018-04-06 12:20:00.000,201801,Hexham,slip trip or fall,PA-DU Newcastle Stores Controller banged and grazed knee at Hexham.,"At 12:20 a DU Newcastle Stores Controller slipped and banged and grazed their knee at Hexham Station House. There was an overflowing drain at the rear of the building, which was located as the access for the toilet facilities. This resulted in the floor being slippery. First aid treatment was not administered. Hospital treatment was not required. The injured party (IP) continued with their duties. Immediate cause: uneven surface with a build-up of sewer and rain water. Underlying cause: drains blocked. Remedial actions: the drains were close called again. They had previously been close called and cleared on 03/04/18.",Sloped,Concrete,,Network Rail,Other,,Other,Other cause,0.001,Workforce (on-duty): Non-severe
SMIS309396,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/048e609f-721b-461d-81de-0384601dc6d0#!/report,2018-04-07 12:50:00.000,201801,Rutherglen (WCML),slip trip or fall,STF / IP Track: Contractor tripped on a bonding cable and fell trackside at Rutherglen area.  SCO 36790.,"Contractors employee sustained minor laceration to forehead as a result of tripping over OHL bond whilst walking in the down fast cess. OHL Bond had been newly installed and was surfaced laid awaiting to be cleated to sleepers. First aid  was administered on site at time of event, laceration cleaned and then dressed with plaster. Employee was wearing approved safety footwear. No evidence of concussive injury and Employee resumed duties. OHL bond was made safe to avoid repeat incident Underlying causes: Situational Awareness and Hazard Identification: Employee stated whilst walking in the cess he looked up to identify which RRV he was allocated to MC for his shift and momentarily lost awareness as to underfoot conditions/obstructions in cess this was further compounded by the trip hazard created by the new OHL bond installation. Actions: SWL1/COSS briefing highlights underfoot conditions however additional safety conversation is to be conducted with site teams (slips,trips,falls) on the details as to this event and on the importance of being alert to changing underfoot conditions during construction.",Level,Ballast,,"McGinley Support Services (Infrastructure) Ltd, Network Rail",Infrastructure worker,Duties to maintain track or infrastructure,"Error or violation; Infrastructure, vehicles, equipment and clothing",Failing to see or notice hazard; Obstructed walkway or track,0.001,Workforce (on-duty): Non-severe
SMIS309275,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e6e44ef1-abe5-49e0-b53d-5d5dd4534cae#!/report,2018-04-08 05:40:00.000,201801,Netherfield,slip trip or fall,PA - STF - Nottingham PWay staff member working trackside at Netherfield tripped over brambles hurting his left knee and elbow. EM033,"At 0540 the Injured Person (IP), a member of Nottingham PWay staff working as Handsignaller at Netherfield, was lifting protection and tripped over brambles. The IP cut his left knee and elbow when he fell. No first aid was administered and the IP was able to carry on with his duties. 6 hour update - IP stated that was a bit bruised and with a cut to his knee. He was asked how he was feeling and he said he was feeling fine and there was no reason why he shouldn't be fit to return to his normal duties on the following morning. Update from Level 1 Investigation: Immediate Cause IP was walking in cess with stop boards and detonators and failed to observe vegetation as tripping hazard. Underlying Causes Insufficient consideration and observation given to immediate underfoot conditions whilst walking in the cess.  Incorrect choice of available walking route in the circumstances. Remedial Actions When walking track side, staff to ensure they were walking track side away from vegetation or when working within a possession to walk in 4 foot away from track side vegetation. No further investigation was required.",Sloped,Ballast,,Network Rail,Handsignaller,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
