"smis_reference","event_date","period","place","report_title","sub_event","injury_degree_2013","fwi_2013"
SMIS239138,2018-04-03 22:30:00.000,201801,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238148,2018-04-04 00:00:00.000,201801,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238238,2018-04-04 22:29:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238182,2018-04-05 03:10:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238171,2018-04-05 12:44:00.000,201801,Brighton Ced Swimu MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238188,2018-04-06 00:27:00.000,201801,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238189,2018-04-06 18:00:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239962,2018-04-06 20:00:00.000,201801,Wembley Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238284,2018-04-07 15:30:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238312,2018-04-11 20:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238314,2018-04-11 22:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238313,2018-04-11 23:20:00.000,201801,Allerton LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238287,2018-04-12 01:25:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238308,2018-04-12 22:59:00.000,201801,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238414,2018-04-16 00:00:00.000,201801,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238517,2018-04-16 12:00:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238399,2018-04-17 02:00:00.000,201801,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238401,2018-04-17 10:45:00.000,201801,Shipley MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238683,2018-04-17 17:00:00.000,201801,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238729,2018-04-24 03:05:00.000,201801,Craigentinny LMD (Edinburgh),"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS238575,2018-04-24 10:00:00.000,201801,Derby MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238707,2018-04-30 00:00:00.000,201802,Plymouth (Laira) Diesel LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238696,2018-04-30 00:00:00.000,201802,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238755,2018-05-01 11:00:00.000,201802,Ryde LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238725,2018-05-02 01:30:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238850,2018-05-04 05:05:00.000,201802,Stewarts Lane LMD (London),"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238840,2018-05-04 09:15:00.000,201802,Bournemouth West LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Severe 7,0.01
SMIS238863,2018-05-05 00:11:00.000,201802,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS239543,2018-05-07 01:00:00.000,201802,Machynlleth LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238926,2018-05-08 09:30:00.000,201802,Bournemouth Middle Sidings,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
SMIS238874,2018-05-09 17:10:00.000,201802,Crawley New Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,Non-severe,0.001
