"smis_reference","event_date","period","place","report_title","sub_event","personal_accident_type","fwi_2013"
SMIS309149,2018-04-02 06:00:00.000,201801,Manchester Longsight MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238120,2018-04-03 11:00:00.000,201801,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS239138,2018-04-03 22:30:00.000,201801,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238148,2018-04-04 00:00:00.000,201801,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309200,2018-04-04 14:30:00.000,201801,Carlisle St Nicholas Bridge MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238238,2018-04-04 22:29:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS309287,2018-04-04 23:50:00.000,201801,Stafford - Brunswick Terrace MDU,Slip trip or fall,slip trip or fall,"Slip, trip, fall",0.001
SMIS238182,2018-04-05 03:10:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238201,2018-04-05 08:50:00.000,201801,Saltley Depot and SB,"Person interacting with animal, object,  vehicle or another person",person interaction,Interaction with road vehicle,0.001
SMIS238171,2018-04-05 12:44:00.000,201801,Brighton Ced Swimu MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS238188,2018-04-06 00:27:00.000,201801,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person",person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS21192,2018-04-06 08:00:00.000,201801,Newton Heath LMD (Manchester),Person exposed to a hazardous substance,person exposed to a hazardous substance,Hazardous susbstance,0.001
