"smis_reference","event_date","period","place","report_title","description","injury_degree_2013","fwi_2013"
SMIS309149,2018-04-02 06:00:00.000,201801,Manchester Longsight MDU,Slip trip or fall,Longsight Depot 34 Road; Report of driver tripping over and falling on concrete walkway during train prep. Injury sustained.,Non-severe,0.001
SMIS238120,2018-04-03 11:00:00.000,201801,Tyne Yard,"Person interacting with animal, object,  vehicle or another person",PA-SCO staff jarred right wrist whilst scraping down an MFS wagon at Tyne HOOB. SCO ref 36680.,Non-severe,0.001
SMIS239138,2018-04-03 22:30:00.000,201801,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person",PA DU Singlewell MOS sustained a graze on his hand at Singlewell (HS1),Non-severe,0.001
SMIS238148,2018-04-04 00:00:00.000,201801,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person",Bombardier staff injured at Etches park,Non-severe,0.001
SMIS309200,2018-04-04 14:30:00.000,201801,Carlisle St Nicholas Bridge MDU,Slip trip or fall,PA - Lancs and Cumbria DU: IP slipped on chequer plate floor at the entrance to the DU building at Carlisle causing her to fall against the door,Non-severe,0.001
SMIS238238,2018-04-04 22:29:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person",Driver working 1Y48 17:17 Nottingham - Leeds reports the light cover falling on him from the train ceiling causing a bruise/abrasion to head and wrist.,Non-severe,0.001
SMIS309287,2018-04-04 23:50:00.000,201801,Stafford - Brunswick Terrace MDU,Slip trip or fall,PA - Stafford DU Staff Accident - Track Welder sustained a bruise to their head as a result of tripping and striking their forehead on the go store door frame at Stafford Maintenance Depot.,Non-severe,0.001
SMIS238182,2018-04-05 03:10:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",Contractor 39176 05/04/2018 Contracted cleaning staff sustained cut to their finger whilst undertaking duties at Farnham TCD,Non-severe,0.001
SMIS238201,2018-04-05 08:50:00.000,201801,Saltley Depot and SB,"Person interacting with animal, object,  vehicle or another person",PA - Work Delivery Staff Accident - Operative sustained a bruise to their knee due to being caught on their knee by the side of a flat bed wagon at Saltley Depot.,Non-severe,0.001
SMIS238171,2018-04-05 12:44:00.000,201801,Brighton Ced Swimu MDU,"Person interacting with animal, object,  vehicle or another person",PA: DU Brighton MOS cut his fore finger on his right hand whilst opening boxes at Brighton CED,Non-severe,0.001
SMIS238188,2018-04-06 00:27:00.000,201801,Stoke On Trent MDU,"Person interacting with animal, object,  vehicle or another person",PA: Route businesses E&W Stafford DU Technician suffered minor finger injury when moving Fast extractor at Stoke depot.,Non-severe,0.001
SMIS21192,2018-04-06 08:00:00.000,201801,Newton Heath LMD (Manchester),Person exposed to a hazardous substance,Fitter sprayed with coolant,Non-severe,0.001
SMIS238189,2018-04-06 18:00:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",Staff Acc - caught finger when testing Dellner roll cover Hornsey Depot 06/04/2018,Non-severe,0.001
SMIS239962,2018-04-06 20:00:00.000,201801,Wembley Depot,"Person interacting with animal, object,  vehicle or another person","5671/18 - A member of staff banged their knee when climbing into a coach using the outside steps",Non-severe,0.001
SMIS238284,2018-04-07 15:30:00.000,201801,Hornsey LMD,"Person interacting with animal, object,  vehicle or another person",Staff Acc - hit hand with  hammer face whilst fastening of the adjustable anti-roll bar link on the coach DMCB No2 Bogie on unit 313025 Hornsey Depot 07/04/2018,Non-severe,0.001
SMIS19528,2018-04-09 00:00:00.000,201801,Crewe Iemd,Other event resulting in injury or fatality,PM that staff member has suffered a personal accident whilst alighting 67023 on Crewe IETD,Non-severe,0.001
SMIS309348,2018-04-09 09:00:00.000,201801,Eastcroft LMD (Nottingham),Slip trip or fall,STF at Eastcroft,Non-severe,0.001
SMIS309930,2018-04-09 13:15:00.000,201801,Coventry Sidings/Car Park MDU,Slip trip or fall,Senior conductor tripped on the top step at Coventry depot,Non-severe,0.001
SMIS309347,2018-04-09 19:40:00.000,201801,Neville Hill LMD East Midlands Trains,Slip trip or fall,STF at Neville hill,Non-severe,0.001
SMIS309365,2018-04-10 06:55:00.000,201801,Jubilee Sidings (Weymouth),Slip trip or fall,Driver STF in Jubilee Sidings,Non-severe,0.001
SMIS19531,2018-04-10 09:45:00.000,201801,Scunthorpe Goods Yard,Other event resulting in injury or fatality,Driver was walking around the front of 66020 (lead end of 6D62 departing Killingholme) to operate the BIS when he caught his foot in a bramble,Non-severe,0.001
SMIS3024717,2018-04-11 08:30:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,Craigentinny in M1 pitted road - Band A tripped over a scotch which had been left in the pit in M1 and injured his right foot/ankle.  No first aid administered.,Non-severe,0.001
SMIS19533,2018-04-11 12:30:00.000,201801,Stoke On Trent MDU,Other event resulting in injury or fatality,GSTM lost his grip of the plate as they were picking it up and his end fell to the floor.,Non-severe,0.001
SMIS238312,2018-04-11 20:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",ACM component fell on staff's shin after supporting studs broke Ramsgate depot 376028,Non-severe,0.001
SMIS238314,2018-04-11 22:00:00.000,201801,Ramsgate Train Maintenance Depot,"Person interacting with animal, object,  vehicle or another person",Staff contractor bent down to pick up dropped items and hit head on yellow post Ramsgate depot 11Road stops end,Non-severe,0.001
SMIS238313,2018-04-11 23:20:00.000,201801,Allerton LMD,"Person interacting with animal, object,  vehicle or another person",STM injured finger when coiling CET hose,Non-severe,0.001
SMIS238287,2018-04-12 01:25:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person",Contractor 39172 12/04/2018 Farnham Trancare Depot: A contract cleaner on Farnham sustained a cut to their finger from a piece of glass.,Non-severe,0.001
SMIS238351,2018-04-12 10:05:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",TPO needle stick injury,Non-severe,0.001
SMIS238308,2018-04-12 22:59:00.000,201801,Horsham Buildings MDU,"Person interacting with animal, object,  vehicle or another person",Contractor Acc - injury occurred when CET and tanking Horsham Field Sidings 12/04/2018,Non-severe,0.001
SMIS02488,2018-04-13 02:30:00.000,201801,Shoeburyness CSD,Awkward Body Movement,Traincare Cleaner suffered back pain as he bent down to retrieve rubbish from floor.,Non-severe,0.001
SMIS309842,2018-04-13 15:00:00.000,201801,Canton Buildings MDU,Slip trip or fall,"13042018 CTN [MINOR]- Driver twisted ankle on depot",Non-severe,0.001
SMIS3010349,2018-04-15 00:30:00.000,201801,Singlewell IMD,Slip trip or fall,"PA DU Singlewell slipped exiting a lorry, injurying his groin at Singlewell (HS1)",Non-severe,0.001
SMIS238355,2018-04-15 06:40:00.000,201801,Didcot Tmd,"Person interacting with animal, object,  vehicle or another person","PA - Swindon DU MOS was lifting a generator with his colleague and strained his left forearm, Didcot Depot",Severe 7,0.01
SMIS238414,2018-04-16 00:00:00.000,201801,Bristol St Philips Marsh LMD,"Person interacting with animal, object,  vehicle or another person",FO3 Fitter at St Phillips marsh Depot was struck by an air pipe during fitment,Non-severe,0.001
SMIS238517,2018-04-16 12:00:00.000,201801,Newton Heath LMD (Manchester),"Person interacting with animal, object,  vehicle or another person",Fitter struck in face by crane chain and hook,Non-severe,0.001
SMIS309530,2018-04-16 12:59:00.000,201801,"Westbury Tcd, Dn & Up Sidings & Wmo",Slip trip or fall,GSTM was working on NAACO JIA type wagon when he slipped on some china clay and fell over on the wagon,Non-severe,0.001
SMIS238594,2018-04-16 23:30:00.000,201801,Tyseley LMD,"Person interacting with animal, object,  vehicle or another person",Technician was struck by the air line off a unit at Tyseley,Non-severe,0.001
SMIS238412,2018-04-17 00:00:00.000,201801,Neville Hill LMD East Midlands Trains,"Person interacting with animal, object,  vehicle or another person",Contact Other at Neville Hill,Non-severe,0.001
SMIS238399,2018-04-17 02:00:00.000,201801,Wimbledon LMD (London),"Person interacting with animal, object,  vehicle or another person",Staff 40126 17/04/2018 Shift Manager sustained a cut to their head when they struck their head on the open top half of the PAU panel on a 707 unit,Non-severe,0.001
SMIS3021038,2018-04-17 06:40:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,A band A Craigentinny Depot employee tripped over a raised section of flooring and injured their right shoulder and bumped their head.,Severe 7,0.01
SMIS309576,2018-04-17 09:00:00.000,201801,Stirling MDU,Slip trip or fall,STF IPSNE: Contractors repotrd a MOS fell on office steps and injured left shin and head at Stirling. SCO36922.,Non-severe,0.001
SMIS238401,2018-04-17 10:45:00.000,201801,Shipley MDU,"Person interacting with animal, object,  vehicle or another person","PA-DU Leeds Section Planner struck in face, causing cut lip, when gate sprang back at Shipley Depot Sidings access point.",Non-severe,0.001
SMIS309754,2018-04-17 13:30:00.000,201801,Soho LMD (Birmingham),Slip trip or fall,Technician fell whilst disposing of a washing unit in the skip,Severe 7,0.01
SMIS309548,2018-04-17 13:50:00.000,201801,Hornsey LMD,Slip trip or fall,TMA slipped and chipped tooth- Hornsey Train Maintenance depot- 14/04/2018,Non-severe,0.001
SMIS238683,2018-04-17 17:00:00.000,201801,Selhurst Depot,"Person interacting with animal, object,  vehicle or another person",Depot staff injury whilst checking train-Selhurst engineering depot-17/04/2018,Non-severe,0.001
SMIS238752,2018-04-17 23:30:00.000,201801,St Leonards LMD,"Person interacting with animal, object,  vehicle or another person","Cleaner reports injured arm cleaning under chairs, WEST MARINA Depot 375813",Severe 7,0.01
