"smis_reference","event_date","period","place","report_title","railway_operating_incident_type","description","owning_org","organisations_involved"
SMIS267509,2018-04-03 00:00:00.000,201801,Reading (Cow Lane) MDU,Railway operating incident,Train rolled back or forwards,EMU moved with NTBM board attached at Reading TCD,Great Western Railway,Great Western Railway
SMIS35179,2018-04-03 06:40:00.000,201801,Swindon Cocklebury Sidings,Train derailment,Train authorised to proceed with points incorrectly set,Derailment - 6B51 (0449 Llanwern - Swindon FP) derailed during a propelling move in Cocklebury Yard Swindon,Network Rail,"DB Cargo (UK), Network Rail"
SMIS267461,2018-04-04 13:49:00.000,201801,Acton Yard,Railway operating incident,Train door incident,"6Y98 1057 Hothfield - Acton Yard has arrived back Acton Yard with two wagons in the consist with Primary catches not engaged",DB Cargo (UK),DB Cargo (UK)
SMIS267860,2018-04-07 03:20:00.000,201801,Wimbledon LMD (London),Railway operating incident,Other train movement without authority: Attached to unit fitted with a NTBMB attached,"IR 07/03/2018 Wimbledon TCD: During a shunt move in number 4 road in the top yard, 707010 was attached to 707003 which had a NTMB attached as a fitter was working onboard the unit.",South Western Railway,South Western Railway
SMIS267546,2018-04-07 05:45:00.000,201801,Salisbury LMD,Railway operating incident,Other train movement without authority: Unit moved with NTMB attached,IW 07/04/2018 Salisbury TCD: Shunt move undertaken on the depot with a NTMB still attached to the unit.,South Western Railway,South Western Railway
SMIS267603,2018-04-11 00:53:00.000,201801,Kings Heath Depot,Railway operating incident,Other incorrect train dispatch,"2K37 - Euston to Milton Keynes Central  - Pass on ECS at Kings Heath",West Midlands Trains,West Midlands Trains
SMIS34121,2018-04-11 03:15:00.000,201801,Bounds Green LMD,Train colliding with another train,Wrong route set for train,Collision at Bounds Green Depot between BN04 and BN29,London North Eastern Railway,London North Eastern Railway
SMIS267569,2018-04-11 08:23:00.000,201801,Ore Carriage Sdgs/EMU Depot,Railway operating incident,Wrong route set for train,OCC - 2D09 (07:38 Eastbourne - Ore) inadvertently signalled into Ore sidings on top of 2D08 (08:22 Ore-Brighton),Network Rail,"Govia Thameslink Railway, Network Rail"
SMIS267739,2018-04-11 10:00:00.000,201801,Bournemouth West LMD,Railway operating incident,Other train movement without authority,Collision on Depot 11/04/2018 Bournemouth Depot. Low impact between two unit couplers during shunt move in the depot.,South Western Railway,South Western Railway
SMIS267579,2018-04-11 21:55:00.000,201801,St Philips Marsh HST Depot,Railway operating incident,Wrong route set for train,Wrong Route - 5G60 (2203 Bristol Temple Meads - St Philips Marsh Depot) was wrongly routed out of platform 13 onto the UML. Route taken.,Network Rail,"Great Western Railway, Network Rail"
SMIS267745,2018-04-13 11:02:00.000,201801,Newton Heath DMU Depot,Railway operating incident,Train door incident,"2J64 11:02 Manchester Victoria - Blackburn suffered a DOIT at Newton Heath",Northern,"Network Rail, Northern"
SMIS267650,2018-04-15 05:20:00.000,201801,Stoke Gifford Sidings,Railway operating incident,,"OCC - Aspins / Balfour Beatty RRV entered worksite without authority, Stoke Gifford Sidings. [SCO36900] IP-GW&C",Network Rail,"Aspin Foundations, Balfour Beatty Rail Ltd., Network Rail"
SMIS267740,2018-04-18 00:00:00.000,201801,Reading (Cow Lane) MDU,Railway operating incident,Train rolled back or forwards,Unscheduled additional move onto Reading TCD passed a Car Marker Board without authority,Great Western Railway,"Great Western Railway, Network Rail"
SMIS267746,2018-04-18 21:15:00.000,201801,Farnham LMD,Railway operating incident,Other: Route set into an already occupied road,IR 18/04/2018 Farnham TCD: Route set for occupied road during shunt move between CET Road and number 14 road.,South Western Railway,South Western Railway
SMIS267790,2018-04-20 01:00:00.000,201801,Freightliner Crewe Basford Hall,Railway operating incident,,Theft from freight container,Freightliner Group,"Freightliner Group, Network Rail"
SMIS267758,2018-04-20 13:34:00.000,201801,Newton Heath DMU Depot,Railway operating incident,Wrong route set for train,Wrong route: NT 5T85 1318 Newton Heath TMD to Huddersfield at MN902 signal Newton Heath.  Route not taken,Network Rail,"Network Rail, Northern"
SMIS267806,2018-04-21 00:00:00.000,201801,Tyseley LMD,Railway operating incident,Other,Other -  Shunt movement at Tyseley,West Midlands Trains,West Midlands Trains
SMIS268584,2018-04-23 00:11:00.000,201801,Hove Goods Yard,Railway operating incident,Train authorised to proceed with points incorrectly set,OCC -T1899 Points Run through  at Hove Sidings,Network Rail,Network Rail
SMIS268440,2018-04-23 04:35:00.000,201801,Newton Heath DMU Depot,Railway operating incident,Other: Skip door open,"5J00 04:35 Oldham end lane - Dean lane  sidings suffered an operating incident at Dean lane sentance.",Northern,"Network Rail, Northern"
SMIS268832,2018-04-24 08:10:00.000,201801,Craigentinny LMD (Edinburgh),Railway operating incident,Train door incident,"1E05 arrived into Berwick with the front door on Coach M on the catch",London North Eastern Railway,London North Eastern Railway
SMIS267945,2018-04-27 10:37:00.000,201801,Hoo Junction,Railway operating incident,Train runaway,OCC - Wagon No 950232 ran out of the sidings and onto the main line at Hoo Jnc,Network Rail,"DB Cargo (UK), Network Rail"
