"smis_reference","event_date","period","place","report_title","sub_event","injury_degree_2013","fwi_2013"
SMIS309149,2018-04-02 06:00:00.000,201801,Manchester Longsight MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309200,2018-04-04 14:30:00.000,201801,Carlisle St Nicholas Bridge MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309287,2018-04-04 23:50:00.000,201801,Stafford - Brunswick Terrace MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309348,2018-04-09 09:00:00.000,201801,Eastcroft LMD (Nottingham),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309930,2018-04-09 13:15:00.000,201801,Coventry Sidings/Car Park MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309347,2018-04-09 19:40:00.000,201801,Neville Hill LMD East Midlands Trains,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309365,2018-04-10 06:55:00.000,201801,Jubilee Sidings (Weymouth),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3024717,2018-04-11 08:30:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309842,2018-04-13 15:00:00.000,201801,Canton Buildings MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3010349,2018-04-15 00:30:00.000,201801,Singlewell IMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309530,2018-04-16 12:59:00.000,201801,"Westbury Tcd, Dn & Up Sidings & Wmo",Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS3021038,2018-04-17 06:40:00.000,201801,Craigentinny LMD (Edinburgh),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS309576,2018-04-17 09:00:00.000,201801,Stirling MDU,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309754,2018-04-17 13:30:00.000,201801,Soho LMD (Birmingham),Slip trip or fall,slip trip or fall,Severe 7,0.01
SMIS309548,2018-04-17 13:50:00.000,201801,Hornsey LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309562,2018-04-18 03:35:00.000,201801,Farnham LMD,Slip trip or fall,slip trip or fall,Non-severe,0.001
SMIS309577,2018-04-18 16:05:00.000,201801,Clapham Jcn RSM Depot,Slip trip or fall,slip trip or fall,Non-severe,0.001
