"smis_reference","event_date","period","place","report_title","personal_accident_type","description"
SMIS2213332,2018-04-01 01:14:00.000,201801,Stewarts Lane Depot,Person in a prohibited area,,Trespass - report of trespassers in or around the Queenstown Road area.
SMIS2213300,2018-04-01 04:12:00.000,201801,Lovers Walk Depot (Brighton),Person in a prohibited area,,Trespass- Members of staff had reported two youths in Montpelier Sidings at Lovers walk depot.
SMIS117054,2018-04-01 07:13:00.000,201801,Grove Park LMD (London),Irregular signal aspect sequence,,COA 5N12 reported a COA (off to on) at shunt signal L1324 Grove Park - signallers error
SMIS309149,2018-04-02 06:00:00.000,201801,Manchester Longsight MDU,Slip trip or fall,"Slip, trip, fall",Longsight Depot 34 Road; Report of driver tripping over and falling on concrete walkway during train prep. Injury sustained.
SMIS2213247,2018-04-02 23:30:00.000,201801,Farnham Traincare Depot,Person in a prohibited area,,Trespass - 1A73 (SWR 22:23 London Waterloo to Alton) reported 3 youths running from Farnham Sheds towards Bentley and were trackside
SMIS267509,2018-04-03 00:00:00.000,201801,Reading (Cow Lane) MDU,Railway operating incident,,EMU moved with NTBM board attached at Reading TCD
SMIS35179,2018-04-03 06:40:00.000,201801,Swindon Cocklebury Sidings,Train derailment,,Derailment - 6B51 (0449 Llanwern - Swindon FP) derailed during a propelling move in Cocklebury Yard Swindon
SMIS382895,2018-04-03 07:40:00.000,201801,Kirkdale TCS (LMD) (Liverpool),Vandalism,,Units 508110/507026 were vandalised with grafitti whilst stabled on South Run Round overnight at Kirkdale Depot.
SMIS238120,2018-04-03 11:00:00.000,201801,Tyne Yard,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA-SCO staff jarred right wrist whilst scraping down an MFS wagon at Tyne HOOB. SCO ref 36680.
SMIS239138,2018-04-03 22:30:00.000,201801,Singlewell IMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",PA DU Singlewell MOS sustained a graze on his hand at Singlewell (HS1)
SMIS238148,2018-04-04 00:00:00.000,201801,Etches Park LMD (Derby),"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Bombardier staff injured at Etches park
SMIS324070,2018-04-04 05:35:00.000,201801,Burton On Trent MDU,Train-track control system brake application or fault,,"6M35 has had a AWS / TPWS penalty brake demand approaching DY176 on the Up Main at Burton On Trent"
SMIS267461,2018-04-04 13:49:00.000,201801,Acton Yard,Railway operating incident,,"6Y98 1057 Hothfield - Acton Yard has arrived back Acton Yard with two wagons in the consist with Primary catches not engaged"
SMIS309200,2018-04-04 14:30:00.000,201801,Carlisle St Nicholas Bridge MDU,Slip trip or fall,"Slip, trip, fall",PA - Lancs and Cumbria DU: IP slipped on chequer plate floor at the entrance to the DU building at Carlisle causing her to fall against the door
SMIS309343,2018-04-04 17:10:00.000,201801,Hull LMD,Slip trip or fall,"Slip, trip, fall",Passenger claimed that he suffered a bruise/abrasion to back after the train seat on 1J31 16:56 Hull - Sheffield was coming away from the seat base.
SMIS238238,2018-04-04 22:29:00.000,201801,Neville Hill LMD (Ns) Northern Rail,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Driver working 1Y48 17:17 Nottingham - Leeds reports the light cover falling on him from the train ceiling causing a bruise/abrasion to head and wrist.
SMIS309287,2018-04-04 23:50:00.000,201801,Stafford - Brunswick Terrace MDU,Slip trip or fall,"Slip, trip, fall",PA - Stafford DU Staff Accident - Track Welder sustained a bruise to their head as a result of tripping and striking their forehead on the go store door frame at Stafford Maintenance Depot.
SMIS238182,2018-04-05 03:10:00.000,201801,Farnham LMD,"Person interacting with animal, object,  vehicle or another person","Interaction with plant, machine, equip or tool",Contractor 39176 05/04/2018 Contracted cleaning staff sustained cut to their finger whilst undertaking duties at Farnham TCD
SMIS238201,2018-04-05 08:50:00.000,201801,Saltley Depot and SB,"Person interacting with animal, object,  vehicle or another person",Interaction with road vehicle,PA - Work Delivery Staff Accident - Operative sustained a bruise to their knee due to being caught on their knee by the side of a flat bed wagon at Saltley Depot.
SMIS29467,2018-04-05 11:25:00.000,201801,Bristol Parkway; Stoke Gifford Sidings,Signal passed at danger,,CAT A SPAD - A Balfour Beatty RRV passed BL1524 signal at the exit from Stoke Gifford IEP Depot at red by 20 yards. Not a multi SPAD [SCO36730] IP-GW&C
